id,product_category,product_name,price,price_unit
735,Computer Science,Embedded Computing for High Performance,7.99,USD
736,Computer Science,Adaptive Mobile Computing,13.99,USD
737,Computer Science,Research Methods for Cyber Security,7.49,USD
738,Computer Science,Research Methods in Human Computer Interaction,10.99,USD
739,Computer Science,Software Architecture for Big Data and the Cloud,19.89,USD
740,Computer Science,TopUML Modeling,9.89,USD
741,Computer Science,Mobile Cloud Computing,11.49,USD
742,Computer Science,Smart Sensors Networks,10.99,USD
743,Computer Science,Statistical Shape and Deformation Analysis,9.89,USD
744,Computer Science,Wireless Public Safety Networks 3,13.69,USD
745,Computer Science,Certifiable Software Applications 3,13.99,USD
746,Computer Science,Certifiable Software Applications 4,12.79,USD
747,Computer Science,ESD Protection Methodologies,6.99,USD
748,Computer Science,Flash Memory Integration,10.99,USD
749,Computer Science,B Method,6.99,USD
750,Computer Science,Adaptive Neural Networks and Robots Intelligent Control in Direct or Indirect Interaction with Humans,4.99,USD
751,Earth and Planetary Sciences,Earth's Oldest Rocks,5.99,USD
752,Earth and Planetary Sciences,ISTE topics in Earth and Planetary Science 2,3.49,USD
753,Earth and Planetary Sciences,ISTE topics in Earth and Planetary Science 3,7.89,USD
754,Earth and Planetary Sciences,Infrared and Raman Spectroscopy of the Cationic Clay Minerals,11.59,USD
755,Earth and Planetary Sciences,Modern and Past Glacial Environments,5.49,USD
756,Earth and Planetary Sciences,Uncertainty Analysis in Earth and Environmental Science,4.99,USD
757,Earth and Planetary Sciences,Ore Dogs and Economic Geology,5.99,USD
758,Earth and Planetary Sciences,Progress in Rock Physics,8.49,USD
759,Earth and Planetary Sciences,Thermodynamics of Atmospheres and Oceans,9.99,USD
760,Earth and Planetary Sciences,Basic Principles of Induction Logging,9.99,USD
761,Earth and Planetary Sciences,Community Resilience,12.49,USD
762,Earth and Planetary Sciences,Spatiotemporal Random Fields,9.99,USD
763,Earth and Planetary Sciences,Terrestrial Depositional Systems,11.99,USD
764,Earth and Planetary Sciences,Statistical Modeling and Analysis,6.39,USD
765,Earth and Planetary Sciences,"Geological Belts, Plate Boundaries and Mineral Deposits in Myanmar",5.99,USD
766,Earth and Planetary Sciences,Photo Atlas of Mineral Pseudomorphism,6.39,USD
767,Earth and Planetary Sciences,Risk Modeling for Hazards and Disasters,7.69,USD
768,Earth and Planetary Sciences,Volatiles in the Martian Crust,3.59,USD
769,Earth and Planetary Sciences,Urban Planning for Disaster Recovery,6.99,USD
770,Earth and Planetary Sciences,Proterozoic Orogens of India,3.99,USD
771,Earth and Planetary Sciences,Data Assimilation for the Geosciences,6.99,USD
772,Earth and Planetary Sciences,"Handbook of Mineral Spectroscopy, Volume 1",3.49,USD
773,Earth and Planetary Sciences,Kappa Distributions,7.99,USD
774,Earth and Planetary Sciences,Bio-optical Modeling and Remote Sensing of Inland Waters,2.79,USD
775,Earth and Planetary Sciences,Soil Health and Intensification of Agroecosystems,2.59,USD
776,Earth and Planetary Sciences,Practical Solutions to Integrated Oil and Gas Reservoir Analysis,6.39,USD
777,Earth and Planetary Sciences,The Indian Ocean Nodule Field,5.69,USD
778,Earth and Planetary Sciences,Introduction to Satellite Remote Sensing,7.79,USD
779,Earth and Planetary Sciences,"Permo-Triassic Salt Provinces of Europe, North Africa and the Atlantic  Margins",5.99,USD
780,Earth and Planetary Sciences,Geographical Information Management in Polar Regions,3.89,USD
781,Earth and Planetary Sciences,Case Studies in Disaster Preparedness,5.49,USD
782,Earth and Planetary Sciences,Case Studies in Disaster Mitigation,5.69,USD
783,Earth and Planetary Sciences,Geoheritage,5.79,USD
784,Earth and Planetary Sciences,"Creating Katrina, Rebuilding Resilience",6.89,USD
785,Earth and Planetary Sciences,Map Interpretation for Structural Geologists,3.79,USD
786,Earth and Planetary Sciences,Coding and Decoding: Seismic Data,4.99,USD
787,Earth and Planetary Sciences,Processes and Ore Deposits of Ultramafic-Mafic Magmas through Space and Time,4.19,USD
788,Earth and Planetary Sciences,The Indian Nitrogen Assessment,9.99,USD
789,Earth and Planetary Sciences,Habitability of the Universe before Earth,4.89,USD
790,Earth and Planetary Sciences,Unconventional Petroleum Geology,9.89,USD
791,Earth and Planetary Sciences,New Zealand Landscape,18.89,USD
792,Earth and Planetary Sciences,Marine Geo-Hazards in China,19.79,USD
793,Earth and Planetary Sciences,Impacts and Insights of Gorkha Earthquake in Nepal,12.79,USD
794,Earth and Planetary Sciences,The Quaternary Ice Age in the Alps,9.99,USD
795,Earth and Planetary Sciences,Practical Prospect Evaluation,12.39,USD
796,Earth and Planetary Sciences,Interpretation of Micromorphological Features of Soils and Regoliths,13.49,USD
797,Earth and Planetary Sciences,Data Room Management and Rapid Asset Evaluation - Theory and Case Studies in Oil and Gas,9.99,USD
798,Earth and Planetary Sciences,Foundations of Geophysical Electromagnetic Theory and Methods,13.49,USD
